"Type_of_Waste","Scope","Category_of_Waste","LastProcessedDate","Treatment_Methods","Date","Scope_3_Upstream_Emissions","Waste_Quantity","Landfill_Waste","Scope_3_Downstream_Emissions","Scope_1_Emissions","Combustion_Waste"
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-05-31",1100,500,97,,,18
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-07-23",,2000,108,2446,,11
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-01-23",1125,1500,140,,,15
"PVC","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2020-05-29",,500,111,,900,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2021-11-10",,1000,108,,760,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-01-16",,1500,97,3244,,11
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-01-03",1069,1000,97,,,28
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-11-02",,2000,111,,,18
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-10-12",1230,1500,140,,,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-06-03",,1500,108,2500,,15
"Office Paper","Scope 1 Emissions","Hazardous","2023-02-24","Combusted","2020-10-18",,1500,97,,900,18
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-07-03",,2000,140,,,28
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2022-01-23",,1500,111,1567,,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-11-23",,1000,108,,,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-10-21",1100,1000,140,,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-02-11",,1500,111,,590,10
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Composed","2020-01-23",,500,108,2446,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-10-26",,1500,97,,850,18
"Office Paper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2020-07-25",1125,2000,97,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-07-20",,1500,108,3244,,11
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-08-02",1230,1500,111,,,28
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-12-04",,1000,140,,,18
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-06-08",,2000,97,2446,,10
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-03-24",1069,500,108,,,28
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-08-16",,1500,111,,850,18
"Office Paper","Scope 1 Emissions","Hazardous","2023-02-24","Recycled","2023-08-27",,1500,140,,590,10
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-11-12",,2000,108,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-04-07",,2000,97,2500,,11
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-01-11",,1000,111,,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-07-12",,1500,140,,760,11
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-08-13",1100,1000,140,,,18
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-03-22",,1000,97,,900,15
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Combusted","2023-04-30",,2000,108,1567,,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-10-31",1069,1500,111,,,28
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-04-19",,1500,108,2500,,18
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-09-04",1230,1500,140,,,11
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-04-09",,1500,97,,760,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-03-12",,1500,111,,900,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-07-05",1125,1000,108,,,11
"PVC","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Recycled","2021-01-18",,500,111,3244,,18
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-05-13",,1500,140,,590,15
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-07-16",,1500,97,2446,,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-09-11",,2000,111,,,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-03-21",,1500,97,1567,,10
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Composed","2020-09-30",,1000,140,,,18
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-08-25",1100,1000,108,,,11
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-11-18",,2000,108,,850,28
"Aluminum Cans","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2020-06-19",1100,1500,97,,,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-06-27",,1500,111,,,28
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-11-20",,2000,140,,850,18
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-03-10",1125,500,140,,,10
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-11-16",,1500,97,,,15
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-07-09",,2000,108,1567,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-01-29",,1500,111,,760,15
"Office Paper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-07-25",,1000,108,,,18
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-07-27",,1500,111,2500,,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-02-13",1069,1500,97,,,28
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-11-30",,1000,140,,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-06-12",,1500,108,,590,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-06-27",,2000,97,2446,,11
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-03-09",1230,1500,111,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-01-28",,2000,140,3244,,18
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-11-05",,1500,140,,900,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-09-09",,1500,108,,,18
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-04-13",,1000,97,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-02-09",,1000,111,,,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-01-05",1069,1500,108,,,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Composed","2023-12-21",,2000,97,3244,,11
"PET","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Combusted","2021-07-28",1100,2000,111,,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2020-09-11",,1500,140,,590,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-08-30",,1000,97,2500,,18
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-09-06",,1500,140,,850,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-03-09",1125,1500,108,,,28
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-04-06",,2000,111,1567,,18
"PVC","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-11-12",1230,500,97,,,28
"Batteries","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-02-02",,500,108,,900,15
"Aluminum Cans","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Combusted","2022-01-11",,1000,140,2446,,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-06-15",1069,1500,111,,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-09-01",,1000,111,,760,10
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2020-12-04",,1500,97,3244,,18
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-01-14",,2000,140,,850,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-11-28",,1500,108,,,11
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-05-15",,1500,97,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Recycled","2022-06-23",,1500,111,2446,,10
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-01-10",1100,1000,140,,,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-07-03",,500,108,,,11
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-09-11",1125,2000,111,,,15
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-03-24",,1500,97,,760,28
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-08-13",,2000,108,1567,,18
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-09-12",1230,1500,140,,,10
"Newspaper","Scope 1 Emissions","Hazardous","2023-02-24","Combusted","2022-06-01",,1500,111,,900,15
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-07-16",,1000,97,2500,,11
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-09-20",1100,1500,140,,,28
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-03-29",,1500,108,,590,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Composed","2020-02-23",,1000,111,3244,,11
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-08-17",1230,1500,108,,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-09-17",,2000,97,,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2022-04-18",,1000,140,,850,18
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Combusted","2021-05-28",,1500,97,,,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-08-20",1125,1000,108,,,28
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-05-31",,2000,140,2500,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-05-06",,1500,111,,760,18
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-05-11",,500,108,,,15
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2021-12-23",,1500,97,,590,28
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-03-16",,1500,111,1567,,18
"Aluminum Cans","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Combusted","2023-04-09",1069,1500,140,,,11
"Batteries","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-12-15",,500,97,2446,,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-09-07",,1500,111,,900,15
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-12-04",,1000,108,,,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-12-17",,1500,140,1567,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2023-10-14",,2000,108,,850,28
"PVC","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-12-17",1100,500,111,,,18
"Newspaper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Recycled","2022-10-22",,1000,97,2446,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-09-12",,1500,140,,590,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-07-19",1125,2000,97,,,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-08-26",,2000,111,2500,,18
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-10-01",,1000,108,,760,28
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-12-06",1230,1000,140,,,11
