"Industry","recordId","Month","Company","Red_Flags","Portfolio","Region","ESG_Score","Rating"
"Media and Technology","0eM8b000000TNE8EAO","2022-03","Surgesystems","DE&I","Portfolio A","LATAM",77,7
"Public Sector","0eM8b000000TNE8EAO","2021-06","Loki Industries","Quality & Safety","Portfolio B","South American",98,3
"Manufacturing","0eM8b000000TNE8EAO","2021-06","Rhino Foods","Code of Conduct","Portfolio A","Europe",95,8
"Manufacturing","0eM8b000000TNE8EAO","2022-01","Purpleworth","Carbon Emissions","Portfolio A","Asia",40,4
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-04","Jetbit","Code of Conduct","Portfolio C","Asia",57,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-09","Elviations","Procurement","Portfolio A","Europe",18,8
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-09","Monarch Motors","Code of Conduct","Portfolio A","LATAM",80,8
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Jetbit","Carbon Emissions","Portfolio A","South American",57,7
"Media and Technology","0eM8b000000TNE8EAO","2021-06","Ravenman","Code of Conduct","Portfolio B","Asia",26,2
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-09","Pumpkinavigation","Data Protection","Portfolio C","Asia",10,3
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-05","Pumpkinavigation","Health &Safety","Portfolio B","Europe",86,8
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-07","Elviations","Quality & Safety","Portfolio A","LATAM",88,5
"Financial Services","0eM8b000000TNE8EAO","2021-12","Apexrover","Quality & Safety","Portfolio C","Europe",72,7
"Media and Technology","0eM8b000000TNE8EAO","2021-06","Surgesystems","Human Rights","Portfolio C","South American",77,3
"Media and Technology","0eM8b000000TNE8EAO","2021-05","Ravenman","Carbon Emissions","Portfolio C","Europe",25,7
"Financial Services","0eM8b000000TNE8EAO","2021-07","North Starporation","Procurement","Portfolio C","Asia",54,1
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-12","Monarch Motors","Code of Conduct","Portfolio A","Europe",80,2
"Manufacturing","0eM8b000000TNE8EAO","2022-01","Rhino Foods","DE&I","Portfolio B","Europe",45,7
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2021-08","Jetbit","DE&I","Portfolio C","Europe",57,4
"Financial Services","0eM8b000000TNE8EAO","2021-06","North Starporation","Human Rights","Portfolio A","Europe",87,8
"Public Sector","0eM8b000000TNE8EAO","2022-03","Corecords","Code of Conduct","Portfolio A","Europe",50,1
"Manufacturing","0eM8b000000TNE8EAO","2022-01","Purpleworth","Procurement","Portfolio A","North America",40,6
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-10","Monarch Motors","DE&I","Portfolio C","Asia",80,7
"Health and Life Sciences","0eM8b000000TNE8EAO","2021-07","Monarch Motors","Code of Conduct","Portfolio B","LATAM",80,4
"Health and Life Sciences","0eM8b000000TNE8EAO","2022-03","Elviations","Code of Conduct","Portfolio A","Asia",92,4
"Financial Services","0eM8b000000TNE8EAO","2021-12","Moondustries","Carbon Emissions","Portfolio A","North America",13,1
"Retail and Consumer Goods","0eM8b000000TNE8EAO","2022-05","Buzzylectrics","Code of Conduct","Portfolio A","Asia",23,4
