"Fuel_Type","Asset_Category","Asset","Asset_Type","CountryCode","Date","Business_Region","Carbon_Inventory","Energy_Usage_kBtu_sq_ft","Electricity_Usage_Previous","Electricity_Usage_kWh_m2","Total_Energy_Consumption_kWh","Electricity_Usage_Current","Scope_3_Emissions","Annual_Energy_Intensity_Variance","Energy_Consumption_Intensity_kWh_m2","Total_Renewable_Energy_kWh","Electricity_Usage_kWh_sq_ft","Fuel_Consumption_Liters","Scope_1_Scope_2_Location_Emissions","Total_Diesel_Consumption","Non_Renewal_Resources","Energy_Emissions","Scope_1_Scope_2_Market_Emissions","Annual_Electricity_Intensity_Variance","Electricity_Cons_Intensity_kWh_m2","Total_Fuel_Oil_Consumption","Energy_Consumption","Data_Center_PUE_current","Total_Natural_Gas_consumption_kWh","Renewal_Resources","Total_Steam_Consumption","Data_Center_PUE_previous","Emissions_from_Stationary_Sources","Total_Building_Area","Energy_Usage_kBtu_m2","High_Outliers","Scope_1_Emissions_tCO2e","Fuel_Consumption_Gallons","Low_Outliers","Total_Allocation_Renewable_Energy"
"Refrigerant","Stationary","East Longs Peak","Comercial Building","IND","2019-03-19","Southeast Asia",78,4435,300000,26,135000,350000,67688,18,4.97,38571,280,3139,34345,100000,15000000,681,21234,3,10.02,17419,123324,45443,84494,29000000,487000,12454,15389,2899000,412,13.5,21323,829,3.3,27000
"Propane","Stationary","ARL-VA7 DC 5W","Comercial Building","MAR","2021-01-08","Middle East",30,4844,400000,30,120000,500000,76855,9,0.22,25714,323,3139,43566,123678,17000000,585,22345,3,0.45,14054,123324,34124,95000,31023124,417000,12354,73680,34000,450,11.8,15000,829,1.2,18000
"Heat","Stationary","Centre St Tower 4","Comercial Building","USA","2022-08-10","AMER",60,3950,400000,26,120000,350000,76855,16,0.24,42857,280,3560,34345,123678,15000000,1123,34543,9,0.59,11592,123324,66544,83214,35000000,402000,12454,77381,12000,367,12.3,15000,941,4.4,30000
"Natural Gas","Vehicle","Company Jet #2","Private Jet","CHN","2020-09-20","APAC",47,3584,450000,27,135000,300000,56634,20,3.2,57857,291,3560,43566,100000,14000000,2094,22345,4,3.12,14777,123324,34124,89118,29000000,488000,12354,78045,3471000,333,12.7,18608,941,2.6,40500
"Propane","Vehicle","9948 Contralia Cowter Ct","Fleet Vehicle","USA","2022-01-15","Central America",85,3046,350000,27,154000,400000,67688,2,0.24,33000,291,3560,23454,150000,17000000,889,21234,7,0.59,14505,123324,45443,40674,31023124,489000,53423,16047,29000,283,11.4,21323,941,2.3,23100
"Diesel","Vehicle","Circle St Tower 8","Fleet Vehicle","BRA","2019-02-10","North America",41,258,350000,19,120000,500000,67688,23,1.05,34286,205,3139,23454,100000,17000000,2137,22345,5,2.13,13700,123324,34124,32940,31023124,460000,12354,6962,2206000,24,13.2,18608,829,0.3,24000
"Electricity","Scope 3","Business Travel FY18","Scope 3","IND","2021-06-17","LATAM",42,4155,450000,16,154000,450000,76855,6,4.97,55000,172,3139,43566,123678,14000000,1878,34543,5,10.02,15801,123324,45443,65684,29000000,425000,53423,15587,3251000,386,14,15000,829,4.8,38500
"Cooling","Stationary","North Longs Peak","Comercial Building","ARG","2020-11-09","South America",39,3541,400000,9,135000,300000,56634,30,0.19,57857,97,3560,34345,150000,15000000,983,21234,9,0.37,10133,123324,66544,67461,35000000,416000,12454,70220,26000,329,11.5,21323,941,0.1,40500
"FuelOil","Stationary","217 Xevering St","Comercial Building","USA","2019-01-14","APAC",78,2002,400000,9,135000,450000,76855,24,0.24,57857,97,3139,43566,100000,14000000,1734,22345,10,0.59,14018,123324,34124,62149,29000000,450000,12354,79193,3324000,186,10.2,21323,829,1.6,40500
"Refrigerant","Stationary","ARL-VA4 DC 4W","Comercial Building","ARG","2022-04-17","LATAM",71,4338,350000,4,120000,400000,67688,14,0.19,34286,43,3560,34345,150000,15000000,731,21234,7,0.37,16600,123324,45443,41120,35000000,478000,12454,96519,30000,403,11.7,15000,941,3.1,24000
"Steam","Stationary","45 Keppely Rd 5B","Comercial Building","IRL","2021-03-31","Central Asia",55,883,450000,8,154000,350000,56634,19,0.01,33000,86,3139,23454,123678,17000000,1114,34543,8,0.02,19826,123324,66544,76739,31023124,484000,53423,72328,26000,82,11.2,18608,829,0.4,23100
"Electricity","Stationary","ARL-VA4 DC 8W","Comercial Building","MAR","2020-03-06","LATAM",58,2239,450000,17,154000,500000,67688,24,0.22,55000,183,3560,23454,150000,17000000,822,34543,3,0.45,14879,123324,66544,74245,35000000,361000,53423,18347,3188000,208,11.5,21323,941,2.8,38500
"Propane","Stationary","140 Mission St","Comercial Building","USA","2020-08-13","AMER",64,947,250000,12,135000,350000,56634,30,0.24,48214,129,3560,34345,100000,15000000,810,22345,6,0.59,16576,123324,45443,85467,31023124,478000,12454,8554,32000,88,13.7,18608,941,1.2,33750
"Diesel","Vehicle","981 Rue Housterton","Fleet Vehicle","JPN","2019-02-06","EMEA",42,3724,400000,7,120000,300000,76855,23,2.52,34286,75,3139,43566,123678,14000000,1146,21234,9,5.15,16357,123324,34124,24546,29000000,356000,12354,15181,3349000,346,14,15000,829,2.3,24000
"FuelOil","Stationary","513 Severing St","Comercial Building","SGP","2022-07-27","APAC",44,786,250000,24,154000,400000,76855,4,0.42,33000,258,3560,43566,150000,14000000,1934,21234,7,0.85,10178,123324,66544,72929,31023124,381000,12454,89865,28000,73,10.3,21323,941,5,23100
"Natural Gas","Stationary","JLP Square South","Comercial Building","ARG","2021-02-28","Europe",35,775,350000,5,120000,450000,67688,7,0.19,51429,54,3139,23454,123678,15000000,1728,22345,9,0.37,17751,123324,45443,97162,35000000,355000,12354,85203,2707000,72,10.3,15000,829,3.8,36000
"Cooling","Data Center","*Business Travel FY21","Data Center","SGP","2021-10-13","Southeast Asia",54,861,400000,3,135000,500000,56634,16,0.42,38571,32,3139,34345,100000,17000000,1102,34543,7,0.85,14782,123324,34124,36750,29000000,351000,53423,72925,24000,80,12.1,18608,829,2.5,27000
"Steam","Stationary","Billhaus CTAW P4A","Comercial Building","AUS","2019-06-09","ANZ",66,248,350000,19,154000,300000,56634,4,4.19,33000,205,3139,23454,100000,14000000,2191,34543,4,8.45,12826,123324,34124,31059,35000000,445000,12354,89732,2778000,23,10.2,21323,829,0.1,23100
"Refrigerant","Stationary","JLP Square North","Comercial Building","FRA","2022-03-20","Europe",83,2433,300000,12,120000,400000,67688,9,3.39,42857,129,3560,43566,123678,15000000,1353,21234,10,6.87,10582,123324,45443,91544,29000000,458000,12454,84499,2520000,226,13.2,15000,941,0.4,30000
"Heat","Scope 3","Business Travel FY19","Scope 3","GBR","2020-07-17","AMER",100,1378,350000,26,135000,500000,76855,14,5.99,57857,280,3560,34345,150000,17000000,1357,22345,3,12.14,10178,123324,66544,66815,31023124,374000,53423,6066,12000,128,11.5,18608,941,4.9,40500
"Electricity","Stationary","230 Burlingame Ave.","Comercial Building","CHN","2021-12-04","Middle East",53,2960,400000,6,120000,350000,67688,18,3.2,42857,65,3139,34345,123678,17000000,1546,21234,7,3.12,12101,123324,34124,45240,29000000,387000,12354,78317,28000,275,11.1,15000,829,2.2,30000
"Steam","Stationary","Centre St Tower 8","Comercial Building","USA","2019-04-01","North America",91,409,400000,29,154000,450000,76855,30,0.24,66000,312,3560,43566,100000,14000000,728,22345,8,0.59,18602,123324,45443,19322,31023124,397000,53423,5285,2145000,38,12.8,18608,941,5.5,46200
"Diesel","Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","Fleet Vehicle","IRL","2020-07-08","North America",36,3520,350000,20,135000,400000,56634,6,0.01,28929,215,3139,23454,150000,15000000,1404,34543,3,0.02,19713,123324,66544,33353,35000000,427000,12454,7025,3020000,327,12.8,21323,829,6,20250
"Propane","Vehicle","Company Shuttle #2","Fleet Vehicle","IND","2022-07-05","APAC",73,4402,250000,13,135000,500000,56634,17,4.97,38571,140,3560,23454,100000,14000000,576,21234,9,10.02,19566,123324,66544,40193,31023124,368000,12354,18886,29000,409,10.6,18608,941,0.2,27000
"Cooling","Stationary","Straight St Tower 4","Comercial Building","AUS","2022-05-20","AMER",33,1658,400000,10,120000,450000,76855,28,4.19,42857,108,3560,43566,123678,17000000,1785,34543,10,8.45,11093,123324,34124,51255,35000000,394000,12454,16328,27000,154,10.4,21323,941,0.7,30000
"Refrigerant","Stationary","Billhaus CTQW U8F","Comercial Building","SGP","2021-07-11","ANZ",56,4768,400000,7,154000,300000,67688,15,0.42,33000,75,3139,34345,150000,15000000,1770,22345,3,0.85,14013,123324,45443,22976,29000000,464000,53423,90890,2037000,443,12.2,15000,829,2.3,23100
"Natural Gas","Stationary","TX - Marion","Comercial Building","CHN","2019-05-23","APAC",83,624,400000,30,135000,350000,56634,25,3.2,38571,323,3560,23454,123678,15000000,429,21234,4,3.12,16233,123324,34124,91315,29000000,477000,12454,88309,26000,58,14,18608,941,3.3,27000
"FuelOil","Vehicle","Los Angeles SMALL TRUCK 12-0024","Fleet Vehicle","BRA","2020-03-17","South America",94,3520,400000,22,154000,300000,76855,11,1.05,66000,237,3139,43566,150000,14000000,1209,22345,5,2.13,16377,123324,45443,49673,35000000,398000,12354,18705,2232000,327,14.1,21323,829,2,46200
"Heat","Stationary","South Longs Peak","Comercial Building","IND","2021-08-21","Southeast Asia",45,409,350000,30,120000,450000,67688,22,4.97,25714,323,3139,34345,100000,17000000,2243,34543,4,10.02,17430,123324,66544,52221,31023124,446000,53423,84022,3201000,38,14.1,15000,829,1,18000
"Electricity","Stationary","45 Keppely Rd 5C","Comercial Building","JPN","2019-04-16","Central Asia",49,4844,450000,26,135000,350000,67688,20,2.52,57857,280,3560,43566,150000,15000000,1198,22345,9,5.15,10790,123324,45443,27300,31023124,391000,12454,91004,23000,450,11.4,18608,941,3,40500
"Natural Gas","Data Center","*AMER Financed Emissions","Data Center","CAN","2022-05-03","AMER",40,797,450000,20,120000,500000,76855,18,2.68,34286,215,3560,34345,123678,14000000,2162,34543,8,5.4,17284,123324,34124,42405,35000000,468000,53423,19652,20000,74,13.5,21323,941,1.1,24000
"Diesel","Scope 3","Business Travel FY22","Scope 3","JPN","2020-02-23","Central America",51,2024,250000,20,154000,400000,56634,26,2.52,55000,215,3139,23454,100000,17000000,1727,21234,7,5.15,19233,123324,66544,62008,29000000,451000,12354,82308,2050000,188,11,15000,829,4.2,38500
"FuelOil","Stationary","9267 Contralia Cowter Ct","Comercial Building","GBR","2021-02-27","Central America",34,2067,300000,12,135000,400000,56634,16,5.99,57857,129,3560,23454,150000,14000000,1906,34543,5,12.14,18905,123324,66544,29988,29000000,449000,12454,73277,21000,192,10.6,21323,941,2.3,40500
"Cooling","Stationary","*Cirrus Tower","Comercial Building","USA","2020-11-14","AMER",93,215,350000,7,154000,350000,76855,16,0.24,33000,75,3560,34345,100000,15000000,1477,21234,7,0.59,18376,123324,34124,91853,31023124,355000,12354,16513,2338000,20,14.4,15000,941,1,23100
"Heat","Stationary","81 Rue Mocklie","Comercial Building","FRA","2022-01-09","EMEA",55,2992,400000,13,120000,450000,67688,29,3.39,42857,140,3560,43566,123678,17000000,856,22345,10,6.87,13204,123324,45443,87258,35000000,500000,53423,72170,32000,278,10,18608,941,5.6,30000
"Propane","Stationary","217 Xevering St","Comercial Building","USA","2019-04-30","APAC",70,560,400000,26,154000,300000,67688,3,0.24,44000,280,3139,23454,123678,15000000,663,22345,4,0.59,16589,123324,45443,70018,31023124,460000,12354,3415,3253000,52,14.7,15000,829,5.9,30800
"Steam","Stationary","230 Burlingame Ave.","Comercial Building","FRA","2022-11-26","Central Asia",88,904,450000,18,120000,500000,56634,19,3.39,42857,194,3560,34345,100000,17000000,1485,34543,4,6.87,15693,123324,34124,42118,35000000,481000,12454,77788,22000,84,12.6,18608,941,0.9,30000
"Refrigerant","Stationary","Billhaus CTQW U8F","Comercial Building","SGP","2021-03-26","ANZ",56,3541,400000,2,135000,450000,76855,15,0.42,38571,22,3139,43566,150000,14000000,1808,21234,10,0.85,18253,123324,66544,69218,29000000,494000,53423,96451,2921000,329,10.5,21323,829,2.4,27000
"Refrigerant","Data Center","Business Travel FY20","Data Center","MAR","2020-07-25","Europe",61,2992,350000,28,120000,300000,76855,8,0.22,25714,301,3139,34345,100000,14000000,476,21234,6,0.45,12433,123324,34124,92395,29000000,443000,12454,4320,2467000,278,13.5,21323,829,5.7,18000
"Cooling","Scope 3","*AMER Financed Emissions","Scope 3","AUS","2019-08-04","EMEA",90,4779,250000,7,154000,400000,67688,14,4.19,66000,75,3560,43566,150000,15000000,1240,34543,4,8.45,12546,123324,66544,67441,31023124,495000,53423,78620,35000,444,14.4,15000,941,0.3,46200
"Steam","Stationary","ARL-VA4 DC 8W","Comercial Building","MAR","2021-11-25","LATAM",86,3208,300000,8,135000,500000,56634,13,0.22,28929,86,3139,23454,123678,17000000,555,22345,8,0.45,16258,123324,45443,74475,35000000,452000,12354,94720,22000,298,13.6,18608,829,2.5,20250
"Natural Gas","Stationary","East Longs Peak","Comercial Building","IND","2022-03-01","Southeast Asia",40,1399,400000,24,135000,350000,76855,25,4.97,57857,258,3139,43566,123678,17000000,494,22345,7,10.02,12075,123324,34124,38614,29000000,377000,12354,86427,2523000,130,12.3,15000,829,1,40500
"Propane","Stationary","Straight St Tower 4","Comercial Building","AUS","2020-06-24","AMER",64,958,400000,11,154000,300000,56634,24,4.19,44000,118,3139,34345,150000,15000000,1886,21234,9,8.45,19339,123324,45443,38294,31023124,470000,53423,6045,3414000,89,12.3,21323,829,0.2,30800
"Diesel","Scope 3","Business Travel FY18","Scope 3","ARG","2019-11-19","Southeast Asia",30,1690,350000,4,120000,450000,67688,22,0.19,42857,43,3560,23454,100000,14000000,675,34543,8,0.37,13970,123324,66544,95356,35000000,428000,12454,16600,18000,157,14.9,18608,941,2,30000
"Heat","Vehicle","9948 Contralia Cowter Ct","Fleet Vehicle","USA","2021-12-26","Central America",74,2669,250000,13,135000,350000,56634,13,0.24,48214,140,3139,34345,123678,17000000,372,22345,6,0.59,14825,123324,45443,73923,29000000,422000,12454,17827,35000,248,10.1,21323,829,0.1,33750
"Electricity","Vehicle","981 Rue Housterton","Fleet Vehicle","JPN","2019-12-06","EMEA",45,3993,450000,30,154000,500000,67688,4,2.52,66000,323,3139,23454,100000,14000000,1917,21234,9,5.15,19561,123324,34124,84986,31023124,396000,53423,1873,2266000,371,14.6,18608,829,1.1,46200
"FuelOil","Stationary","81 Rue Mocklie","Comercial Building","FRA","2020-09-29","EMEA",43,4219,350000,21,120000,400000,76855,8,3.39,34286,226,3560,43566,150000,15000000,464,34543,5,6.87,15534,123324,66544,95681,35000000,421000,12354,19659,3047000,392,12.5,15000,941,2.1,24000
"Refrigerant","Vehicle","Circle St Tower 8","Fleet Vehicle","BRA","2022-05-10","North America",30,4725,400000,28,154000,450000,76855,22,1.05,33000,301,3560,34345,123678,15000000,497,22345,8,2.13,15534,123324,34124,28338,29000000,372000,53423,75987,16000,439,12.1,15000,941,4.8,23100
"Heat","Vehicle","Los Angeles SMALL TRUCK 12-0024","Fleet Vehicle","IND","2019-12-07","LATAM",48,2110,400000,8,135000,500000,56634,17,4.97,38571,86,3560,23454,150000,17000000,1357,21234,8,10.02,10437,123324,45443,19938,31023124,388000,12354,19258,2174000,196,12.9,21323,941,0.9,27000
"FuelOil","Stationary","Billhaus CTAW P4A","Comercial Building","USA","2021-09-21","ANZ",62,2799,300000,5,120000,350000,67688,28,0.24,51429,54,3139,43566,100000,14000000,685,34543,10,0.59,13518,123324,66544,33457,35000000,470000,12454,85950,22000,260,11.7,18608,829,4.3,36000
"Cooling","Stationary","*Cirrus Tower","Comercial Building","USA","2022-11-11","AMER",82,377,250000,18,135000,400000,67688,16,0.24,48214,194,3560,43566,150000,14000000,2257,34543,3,0.59,18473,123324,66544,97279,31023124,444000,12454,92117,15000,35,12.3,18608,941,3.2,33750
"Steam","Data Center","*Business Travel FY21","Data Center","IRL","2020-08-05","ANZ",46,764,350000,29,154000,300000,56634,9,0.01,33000,312,3139,23454,100000,17000000,1147,21234,9,0.02,19155,123324,45443,31141,29000000,483000,53423,9784,3083000,71,10.8,21323,829,2.7,23100
"Natural Gas","Vehicle","Company Shuttle #2","Fleet Vehicle","USA","2022-05-21","LATAM",86,291,450000,5,120000,350000,76855,27,0.24,34286,54,3560,34345,123678,15000000,2095,22345,8,0.59,15388,123324,34124,89267,35000000,368000,12354,4390,2761000,27,11.8,15000,941,1.3,24000
"Diesel","Stationary","ARL-VA7 DC 5W","Comercial Building","MAR","2021-09-09","Middle East",82,1528,350000,5,120000,450000,67688,11,0.22,51429,54,3139,43566,123678,14000000,460,22345,3,0.45,11676,123324,66544,51640,31023124,470000,53423,88867,19000,142,11.2,21323,829,4.9,36000
"Electricity","Stationary","9267 Contralia Cowter Ct","Comercial Building","GBR","2019-02-28","Central America",38,2971,450000,26,135000,400000,56634,14,5.99,48214,280,3560,34345,150000,17000000,1981,34543,10,12.14,16718,123324,34124,17511,29000000,371000,12454,74987,2781000,276,11.4,18608,941,1.2,33750
"Propane","Stationary","South Longs Peak","Comercial Building","IND","2020-09-20","Southeast Asia",83,2713,400000,16,154000,300000,76855,26,4.97,33000,172,3139,23454,100000,15000000,1469,21234,5,10.02,15972,123324,45443,60383,35000000,402000,12354,72607,23000,252,11.3,15000,829,2.8,23100
"Refrigerant","Scope 3","Business Travel FY19","Scope 3","CHN","2020-10-07","Middle East",89,1690,350000,2,154000,500000,76855,26,3.2,66000,22,3139,34345,123678,15000000,326,34543,4,3.12,19993,123324,45443,74244,35000000,450000,53423,18175,14000,157,13.3,18608,829,4.7,46200
"Propane","Stationary","45 Keppely Rd 5B","Comercial Building","IRL","2021-06-30","Central Asia",88,4489,400000,7,120000,500000,56634,7,0.01,25714,75,3139,23454,150000,14000000,2196,21234,5,0.02,17332,123324,66544,37201,31023124,406000,12354,88451,3183000,417,14,21323,829,0.5,18000
"Cooling","Stationary","North Longs Peak","Comercial Building","ARG","2019-09-21","South America",59,205,400000,18,135000,300000,67688,22,0.19,38571,194,3560,43566,100000,17000000,792,22345,7,0.37,16635,123324,34124,68207,29000000,400000,12454,15334,22000,19,13.1,15000,941,5.3,27000
"Steam","Stationary","Centre St Tower 8","Comercial Building","AUS","2022-02-27","North America",83,237,400000,28,120000,400000,76855,13,4.19,42857,301,3560,34345,150000,15000000,754,22345,9,8.45,19860,123324,34124,18124,35000000,394000,12354,93270,2601000,22,11.1,18608,941,2.3,30000
"FuelOil","Stationary","Centre St Tower 4","Comercial Building","USA","2020-05-17","AMER",36,689,350000,15,135000,450000,67688,22,0.24,48214,161,3560,43566,100000,14000000,797,34543,5,0.59,16133,123324,45443,79170,29000000,476000,12454,6463,2506000,64,11,15000,941,1.3,33750
"Diesel","Stationary","513 Severing St","Comercial Building","SGP","2022-02-17","APAC",70,4424,400000,9,154000,350000,56634,14,0.42,66000,97,3560,23454,123678,17000000,1005,21234,10,0.85,17904,123324,66544,47924,31023124,378000,53423,86100,32000,411,10.3,21323,941,1.8,46200
"Electricity","Stationary","JLP Square South","Comercial Building","ARG","2021-04-13","Europe",40,1173,400000,14,120000,500000,67688,27,0.19,25714,151,3139,43566,150000,14000000,397,22345,6,0.37,11478,123324,34124,18461,29000000,390000,12354,95175,2249000,109,12.4,21323,829,5.4,18000
"Natural Gas","Data Center","Value Chain","Data Center","BRA","2019-06-06","AMER",44,2357,350000,20,154000,300000,76855,15,1.05,44000,215,3139,23454,123678,15000000,1485,34543,7,2.13,13134,123324,66544,35205,31023124,428000,12454,77521,14000,219,10.5,18608,829,2.3,30800
"Heat","Stationary","ARL-VA4 DC 4W","Comercial Building","ARG","2022-05-09","LATAM",58,4768,300000,14,135000,350000,56634,22,0.19,57857,151,3560,34345,100000,17000000,1729,21234,5,0.37,15902,123324,45443,53972,35000000,423000,53423,75219,22000,443,12.3,15000,941,0.1,40500
"FuelOil","Vehicle","Company Jet #1","Private Jet","CAN","2020-05-19","APAC",32,2874,350000,30,135000,400000,76855,25,2.68,28929,323,3139,34345,100000,17000000,2028,21234,8,5.4,15373,123324,45443,22395,35000000,363000,53423,3687,2793000,267,13.4,21323,829,1.6,20250
"Refrigerant","Stationary","ARL-WQ7 DC 9W","Comercial Building","JPN","2021-02-08","Middle East",82,4133,400000,18,154000,450000,56634,23,2.52,44000,194,3139,43566,150000,14000000,1883,22345,10,5.15,12526,123324,34124,48547,29000000,380000,12454,82454,2371000,384,10.9,15000,829,3.8,30800
"Electricity","Scope 3","Business Travel FY22","Scope 3","FRA","2019-12-09","Central America",50,1927,450000,17,120000,450000,67688,7,3.39,42857,183,3560,23454,123678,15000000,1762,34543,9,6.87,15419,123324,66544,96291,31023124,410000,12354,9543,18000,179,14.1,18608,941,4.1,30000
"Diesel","Stationary","140 Mission St","Comercial Building","USA","2019-10-03","AMER",79,3703,250000,30,135000,350000,76855,6,0.24,48214,323,3139,34345,150000,14000000,2274,21234,7,0.59,16017,123324,66544,31212,35000000,403000,12354,3834,19000,344,10.5,18608,829,2.4,33750
