"IndustrySegment","Period","PeriodStartDate","RevenueBucket","Revenue"
"Coatings & Inks","Rest of the Records","2021-02-17","4.5m - 5m",4946000
"Specialty Materials","Rest of the Records","2018-07-01","3m - 3.5m",3083001
"Textiles","Rest of the Records","2017-09-20","3m - 3.5m",3189001
"Coatings & Inks","Rest of the Records","2019-01-10","4.5m - 5m",5000000
"Paper & Packaging","Rest of the Records","2017-10-24","2m - 2.5m",2387001
"Specialty Materials","Rest of the Records","2021-01-13","2.5m - 3m",2918001
"Paper & Packaging","Rest of the Records","2018-10-09","4m - 4.5m",4404001
"Coatings & Inks","Rest of the Records","2020-02-20","4m - 4.5m",4386001
"Textiles","Rest of the Records","2020-12-05","3m - 3.5m",3043001
"Textiles","Rest of the Records","2018-01-09","3.5m - 4m",3978001
"Specialty Materials","Rest of the Records","2021-04-19","1m - 1.5m",1127000
"Paper & Packaging","Rest of the Records","2017-10-22","4.5m - 5m",4769000
"Coatings & Inks","Rest of the Records","2020-03-01","1.5m - 2m",1593001
"Specialty Materials","Rest of the Records","2019-05-25","4m - 4.5m",4464001
"Paper & Packaging","Rest of the Records","2018-07-10","2m - 2.5m",2185001
"Coatings & Inks","Rest of the Records","2019-09-05","2.5m - 3m",2609001
"Textiles","Rest of the Records","2020-12-22","3.5m - 4m",3803001
"Coatings & Inks","Rest of the Records","2020-06-08","2m - 2.5m",2459001
"Paper & Packaging","Rest of the Records","2018-02-12","3m - 3.5m",3131001
"Textiles","Rest of the Records","2020-01-26","4.5m - 5m",4655000
"Specialty Materials","Rest of the Records","2021-01-23","2.5m - 3m",2544001
"Specialty Materials","Rest of the Records","2018-05-09","1.5m - 2m",1602001
"Paper & Packaging","Rest of the Records","2018-09-26","1.5m - 2m",1604001
"Textiles","Rest of the Records","2021-03-24","3m - 3.5m",3337001
"Coatings & Inks","Rest of the Records","2020-10-25","4.5m - 5m",4928000
"Coatings & Inks","Rest of the Records","2018-09-02","1m - 1.5m",1119000
"Specialty Materials","Rest of the Records","2019-03-20","2m - 2.5m",2143001
"Paper & Packaging","Rest of the Records","2017-12-30","1m - 1.5m",1056000
"Textiles","Rest of the Records","2020-06-01","3.5m - 4m",3979001
"Textiles","Rest of the Records","2018-08-29","4.5m - 5m",4675000
"Paper & Packaging","Rest of the Records","2018-04-18","2.5m - 3m",2975001
"Coatings & Inks","Rest of the Records","2021-01-09","3m - 3.5m",3421001
"Specialty Materials","Rest of the Records","2017-11-13","3m - 3.5m",3310001
"Coatings & Inks","Two Months Ago","2021-07-10","2m - 2.5m",2357001
"Specialty Materials","Three Months Ago","2021-06-10","1m - 1.5m",1013000
"Textiles","Four Months Ago","2021-05-03","1.5m - 2m",1596001
"Paper & Packaging","Rest of the Records","2018-08-28","2m - 2.5m",2205001
"Coatings & Inks","One Month Ago","2021-08-26","2.5m - 3m",2924001
"Paper & Packaging","Current Month","2021-09-17","4.5m - 5m",4995000
"Specialty Materials","Rest of the Records","2019-08-18","3.5m - 4m",3922001
"Textiles","Rest of the Records","2019-08-19","2.5m - 3m",2863001
"Specialty Materials","Rest of the Records","2020-05-22","3m - 3.5m",3227001
"Paper & Packaging","Rest of the Records","2020-04-14","4m - 4.5m",4133001
"Textiles","Rest of the Records","2018-01-04","4m - 4.5m",4033001
"Coatings & Inks","Rest of the Records","2020-04-04","1.5m - 2m",1642001
"Paper & Packaging","Rest of the Records","2019-09-24","1.5m - 2m",1501001
"Specialty Materials","Rest of the Records","2018-07-26","4m - 4.5m",4045001
"Coatings & Inks","Rest of the Records","2020-01-01","4m - 4.5m",4393001
"Textiles","Rest of the Records","2019-07-20","2.5m - 3m",2543001
"Specialty Materials","Rest of the Records","2020-04-05","2m - 2.5m",2115001
"Coatings & Inks","Rest of the Records","2019-04-01","3.5m - 4m",3614001
"Paper & Packaging","Rest of the Records","2020-04-02","4.5m - 5m",4769000
"Textiles","Rest of the Records","2019-10-30","3.5m - 4m",3628001
"Textiles","Rest of the Records","2019-11-08","3.5m - 4m",3564001
"Paper & Packaging","Rest of the Records","2017-08-09","1m - 1.5m",1169000
"Specialty Materials","Rest of the Records","2018-12-16","4m - 4.5m",4486001
"Coatings & Inks","Rest of the Records","2020-07-06","2.5m - 3m",2904001
"Specialty Materials","Rest of the Records","2019-03-09","3m - 3.5m",3434001
"Paper & Packaging","Rest of the Records","2020-12-08","1.5m - 2m",1629001
"Coatings & Inks","Rest of the Records","2018-01-03","2m - 2.5m",2198001
"Textiles","Rest of the Records","2020-01-24","1m - 1.5m",1354000
"Coatings & Inks","Rest of the Records","2020-02-27","3m - 3.5m",3154001
"Textiles","Rest of the Records","2021-03-01","4.5m - 5m",4637000
"Paper & Packaging","Rest of the Records","2017-12-05","2.5m - 3m",2862001
"Specialty Materials","Rest of the Records","2019-09-28","3.5m - 4m",3647001
"Textiles","Rest of the Records","2020-08-10","1.5m - 2m",1505001
"Specialty Materials","Rest of the Records","2020-01-24","3m - 3.5m",3416001
"Paper & Packaging","Rest of the Records","2020-06-29","2m - 2.5m",2475001
"Coatings & Inks","Rest of the Records","2019-12-27","4m - 4.5m",4490001
"Paper & Packaging","Rest of the Records","2020-10-06","1m - 1.5m",1019000
"Coatings & Inks","Rest of the Records","2018-03-12","1m - 1.5m",1176000
"Textiles","Rest of the Records","2017-09-05","4m - 4.5m",4347001
"Specialty Materials","Rest of the Records","2020-07-20","4.5m - 5m",4768000
"Paper & Packaging","Rest of the Records","2017-05-06","3.5m - 4m",3967001
"Coatings & Inks","Rest of the Records","2019-05-09","2.5m - 3m",2524001
"Textiles","Rest of the Records","2021-04-07","2m - 2.5m",2353001
"Specialty Materials","Rest of the Records","2018-05-02","2.5m - 3m",2977001
"Coatings & Inks","Rest of the Records","2018-09-21","3m - 3.5m",3261001
"Textiles","Rest of the Records","2017-08-15","4m - 4.5m",4457001
"Paper & Packaging","Rest of the Records","2018-10-24","1.5m - 2m",1913001
"Specialty Materials","Rest of the Records","2017-08-25","3m - 3.5m",3382001
"Coatings & Inks","Rest of the Records","2019-03-03","3.5m - 4m",3660001
"Specialty Materials","Rest of the Records","2019-01-17","3m - 3.5m",3121001
"Textiles","Rest of the Records","2019-01-06","2m - 2.5m",2427001
"Paper & Packaging","Rest of the Records","2019-04-20","3.5m - 4m",3604001
"Specialty Materials","Rest of the Records","2020-08-21","4.5m - 5m",4970000
"Coatings & Inks","Rest of the Records","2018-09-24","4.5m - 5m",4699000
"Paper & Packaging","Rest of the Records","2018-12-06","1.5m - 2m",1520001
"Textiles","Rest of the Records","2021-02-20","2.5m - 3m",2977001
"Coatings & Inks","Rest of the Records","2018-03-02","1.5m - 2m",1742001
"Textiles","Rest of the Records","2018-07-15","1m - 1.5m",1298000
"Paper & Packaging","Rest of the Records","2019-02-21","4m - 4.5m",4210001
"Specialty Materials","One Month Ago","2021-08-30","3m - 3.5m",3097001
"Coatings & Inks","Rest of the Records","2019-07-01","3.5m - 4m",3873001
"Textiles","Rest of the Records","2017-10-26","2m - 2.5m",2029001
"Paper & Packaging","Current Month","2021-09-28","1m - 1.5m",1451000
"Specialty Materials","Two Months Ago","2021-07-11","4.5m - 5m",4897000
"Coatings & Inks","Rest of the Records","2021-04-03","1m - 1.5m",1474000
"Specialty Materials","Rest of the Records","2018-10-27","2.5m - 3m",2627001
"Paper & Packaging","Three Months Ago","2021-06-26","3.5m - 4m",3798001
"Textiles","Rest of the Records","2019-05-06","4m - 4.5m",4112001
"Paper & Packaging","Four Months Ago","2021-05-17","1.5m - 2m",1918001
"Coatings & Inks","Rest of the Records","2017-09-14","4m - 4.5m",4195001
"Specialty Materials","Rest of the Records","2018-06-21","3.5m - 4m",3535001
"Textiles","Rest of the Records","2019-10-31","1m - 1.5m",1286000
"Coatings & Inks","Rest of the Records","2020-01-16","4.5m - 5m",4571000
"Paper & Packaging","Rest of the Records","2020-03-04","2.5m - 3m",2740001
"Textiles","Rest of the Records","2019-07-29","3m - 3.5m",3294001
"Specialty Materials","Rest of the Records","2017-12-29","4.5m - 5m",4604000
"Textiles","Rest of the Records","2020-03-12","1.5m - 2m",1769001
"Coatings & Inks","Rest of the Records","2019-05-04","2.5m - 3m",2770001
"Paper & Packaging","Rest of the Records","2018-06-23","1m - 1.5m",1355000
"Specialty Materials","Rest of the Records","2020-02-15","2m - 2.5m",2252001
"Coatings & Inks","Rest of the Records","2019-05-29","2m - 2.5m",2222001
"Paper & Packaging","Rest of the Records","2018-10-11","3.5m - 4m",3645001
"Specialty Materials","Rest of the Records","2019-05-25","4m - 4.5m",4360001
"Textiles","Rest of the Records","2019-11-05","2m - 2.5m",2378001
"Textiles","Rest of the Records","2019-02-26","4.5m - 5m",4997000
"Paper & Packaging","Rest of the Records","2019-03-27","3m - 3.5m",3150001
"Coatings & Inks","Rest of the Records","2019-10-18","3.5m - 4m",3891001
"Specialty Materials","Rest of the Records","2019-12-25","3.5m - 4m",3646001
"Coatings & Inks","Rest of the Records","2018-08-04","1m - 1.5m",1114000
"Specialty Materials","Rest of the Records","2018-03-12","2.5m - 3m",2748001
"Paper & Packaging","Rest of the Records","2019-04-26","1.5m - 2m",1539001
"Textiles","Rest of the Records","2019-05-23","3m - 3.5m",3116001
"Specialty Materials","Rest of the Records","2020-04-09","1m - 1.5m",1117000
"Coatings & Inks","Rest of the Records","2018-06-29","2.5m - 3m",2974001
"Textiles","Rest of the Records","2018-01-29","2.5m - 3m",2714001
"Paper & Packaging","Rest of the Records","2018-04-10","4m - 4.5m",4107001
"Textiles","Rest of the Records","2019-10-31","2m - 2.5m",2089001
"Coatings & Inks","Rest of the Records","2020-10-12","4.5m - 5m",4688000
"Specialty Materials","Rest of the Records","2019-07-20","4.5m - 5m",4618000
"Paper & Packaging","Rest of the Records","2018-05-03","1.5m - 2m",1742001
"Textiles","Rest of the Records","2019-09-18","1m - 1.5m",1406000
"Specialty Materials","Rest of the Records","2019-03-04","3m - 3.5m",3378001
"Coatings & Inks","Rest of the Records","2020-11-02","2m - 2.5m",2366001
"Paper & Packaging","Rest of the Records","2020-04-21","4m - 4.5m",4230001
"Specialty Materials","Rest of the Records","2020-11-16","3m - 3.5m",3105001
"Coatings & Inks","Rest of the Records","2020-07-29","4m - 4.5m",4034001
"Paper & Packaging","Rest of the Records","2017-05-18","2.5m - 3m",2747001
"Textiles","Rest of the Records","2020-07-19","2m - 2.5m",2483001
"Specialty Materials","Rest of the Records","2018-10-11","1.5m - 2m",1777001
"Paper & Packaging","Rest of the Records","2020-06-10","3.5m - 4m",3923001
"Textiles","Rest of the Records","2017-08-12","1m - 1.5m",1013000
"Coatings & Inks","Rest of the Records","2018-10-24","1.5m - 2m",1727001
"Coatings & Inks","Rest of the Records","2019-10-09","3.5m - 4m",3568001
"Paper & Packaging","Rest of the Records","2018-01-02","3.5m - 4m",3525001
"Textiles","Rest of the Records","2018-03-28","4m - 4.5m",4359001
"Specialty Materials","Rest of the Records","2017-07-29","4.5m - 5m",4743000
"Textiles","Rest of the Records","2019-12-04","2.5m - 3m",2574001
"Paper & Packaging","Rest of the Records","2021-04-14","3.5m - 4m",3693001
"Specialty Materials","Three Months Ago","2021-06-09","3m - 3.5m",3161001
"Coatings & Inks","Rest of the Records","2017-06-09","3m - 3.5m",3475001
"Specialty Materials","Current Month","2021-09-05","2m - 2.5m",2085001
"Coatings & Inks","One Month Ago","2021-08-18","2m - 2.5m",2435001
"Textiles","Four Months Ago","2021-05-25","3m - 3.5m",3322001
"Paper & Packaging","Two Months Ago","2021-07-07","4.5m - 5m",4643000
"Coatings & Inks","Rest of the Records","2019-02-12","1m - 1.5m",1198000
"Textiles","Rest of the Records","2020-02-12","1m - 1.5m",1402000
"Paper & Packaging","Rest of the Records","2019-01-01","1.5m - 2m",1786001
"Specialty Materials","Rest of the Records","2017-07-18","3.5m - 4m",3736001
"Coatings & Inks","Rest of the Records","2019-06-08","2m - 2.5m",2209001
"Textiles","Rest of the Records","2020-02-15","4.5m - 5m",4567000
"Specialty Materials","Rest of the Records","2017-07-10","4m - 4.5m",4296001
"Paper & Packaging","Rest of the Records","2018-04-27","3m - 3.5m",3031001
"Specialty Materials","Rest of the Records","2018-08-16","2.5m - 3m",2931001
"Coatings & Inks","Rest of the Records","2017-08-08","1.5m - 2m",1822001
"Textiles","Rest of the Records","2017-09-20","1.5m - 2m",1906001
"Paper & Packaging","Rest of the Records","2019-05-18","2m - 2.5m",2279001
"Paper & Packaging","Rest of the Records","2019-05-18","1m - 1.5m",1095000
"Coatings & Inks","Rest of the Records","2020-06-22","4.5m - 5m",4958000
"Textiles","Rest of the Records","2019-01-11","4.5m - 5m",4935000
"Specialty Materials","Rest of the Records","2018-12-19","2.5m - 3m",2802001
"Coatings & Inks","Rest of the Records","2019-11-04","2.5m - 3m",2863001
"Specialty Materials","Rest of the Records","2018-08-12","4m - 4.5m",4211001
"Textiles","Rest of the Records","2019-10-08","3.5m - 4m",3890001
"Paper & Packaging","Rest of the Records","2018-11-01","2m - 2.5m",2049001
"Specialty Materials","Rest of the Records","2020-10-07","4m - 4.5m",4197001
"Paper & Packaging","Rest of the Records","2019-11-15","3.5m - 4m",3907001
"Coatings & Inks","Rest of the Records","2018-12-01","4m - 4.5m",4264001
"Textiles","Rest of the Records","2018-12-02","1m - 1.5m",1471000
"Coatings & Inks","Rest of the Records","2018-01-14","1.5m - 2m",1578001
"Paper & Packaging","Rest of the Records","2019-05-17","3m - 3.5m",3449001
"Specialty Materials","Rest of the Records","2017-07-26","3m - 3.5m",3048001
"Textiles","Rest of the Records","2019-06-05","2m - 2.5m",2245001
"Coatings & Inks","Rest of the Records","2018-10-12","3.5m - 4m",3800001
"Specialty Materials","Rest of the Records","2018-07-04","2.5m - 3m",2897001
"Textiles","Rest of the Records","2018-04-09","4.5m - 5m",4675000
"Paper & Packaging","Rest of the Records","2018-05-22","3.5m - 4m",3610001
"Specialty Materials","Rest of the Records","2018-12-13","4m - 4.5m",4411001
"Textiles","Rest of the Records","2017-10-15","1.5m - 2m",1909001
"Paper & Packaging","Rest of the Records","2018-05-07","1.5m - 2m",1528001
"Coatings & Inks","Rest of the Records","2019-12-30","3m - 3.5m",3129001
"Coatings & Inks","Rest of the Records","2018-09-08","1m - 1.5m",1078000
"Specialty Materials","Rest of the Records","2017-12-15","3m - 3.5m",3413001
"Paper & Packaging","Rest of the Records","2020-01-08","4.5m - 5m",4879000
"Textiles","Rest of the Records","2018-04-21","2m - 2.5m",2394001
"Textiles","Rest of the Records","2018-05-20","3.5m - 4m",3747001
"Paper & Packaging","Rest of the Records","2021-03-21","1.5m - 2m",1728001
"Specialty Materials","Rest of the Records","2020-09-10","4m - 4.5m",4299001
"Coatings & Inks","Rest of the Records","2019-10-23","2m - 2.5m",2431001
"Textiles","Rest of the Records","2017-10-24","1m - 1.5m",1373000
"Paper & Packaging","Rest of the Records","2019-02-19","3m - 3.5m",3254001
"Specialty Materials","Rest of the Records","2019-11-13","3.5m - 4m",3998001
"Coatings & Inks","Rest of the Records","2017-12-16","3.5m - 4m",3945001
"Textiles","Rest of the Records","2018-12-17","2.5m - 3m",2872001
"Coatings & Inks","Rest of the Records","2020-01-14","3m - 3.5m",3164001
"Paper & Packaging","Rest of the Records","2019-03-15","2m - 2.5m",2456001
"Specialty Materials","Rest of the Records","2019-01-27","2.5m - 3m",2784001
"Specialty Materials","Rest of the Records","2018-12-12","1.5m - 2m",1555001
"Textiles","One Month Ago","2021-08-12","4.5m - 5m",4941000
"Paper & Packaging","Two Months Ago","2021-07-02","3m - 3.5m",3051001
"Coatings & Inks","Three Months Ago","2021-06-27","3m - 3.5m",3014001
"Textiles","Four Months Ago","2021-05-08","1m - 1.5m",1284000
"Coatings & Inks","Current Month","2021-09-16","2.5m - 3m",2698001
"Specialty Materials","Rest of the Records","2019-03-05","1m - 1.5m",1163000
"Paper & Packaging","Rest of the Records","2019-08-26","3.5m - 4m",3694001
"Textiles","Rest of the Records","2019-04-06","4.5m - 5m",4848000
"Coatings & Inks","Rest of the Records","2019-05-22","2.5m - 3m",2606001
"Specialty Materials","Rest of the Records","2017-06-29","2.5m - 3m",2969001
"Paper & Packaging","Rest of the Records","2017-05-29","2m - 2.5m",2380001
"Textiles","Rest of the Records","2020-08-21","4m - 4.5m",4056001
"Specialty Materials","Rest of the Records","2019-09-05","3.5m - 4m",3951001
"Paper & Packaging","Rest of the Records","2017-07-21","3m - 3.5m",3168001
"Coatings & Inks","Rest of the Records","2017-08-12","4.5m - 5m",4865000
"Specialty Materials","Rest of the Records","2018-08-03","1m - 1.5m",1238000
"Textiles","Rest of the Records","2020-08-05","4m - 4.5m",4237001
"Paper & Packaging","Rest of the Records","2020-05-11","2m - 2.5m",2469001
"Coatings & Inks","Rest of the Records","2017-07-28","1.5m - 2m",1801001
"Specialty Materials","Rest of the Records","2019-03-21","3m - 3.5m",3440001
"Textiles","Rest of the Records","2019-06-02","2.5m - 3m",2543001
"Paper & Packaging","Rest of the Records","2019-01-04","3.5m - 4m",3729001
"Coatings & Inks","Rest of the Records","2017-05-06","4m - 4.5m",4103001
"Specialty Materials","Rest of the Records","2017-09-03","4m - 4.5m",4218001
"Coatings & Inks","Rest of the Records","2017-06-23","3m - 3.5m",3230001
"Textiles","Rest of the Records","2020-09-18","4.5m - 5m",4804000
"Paper & Packaging","Rest of the Records","2019-06-08","1m - 1.5m",1058000
"Paper & Packaging","Rest of the Records","2021-03-24","1.5m - 2m",1735001
"Textiles","Rest of the Records","2020-07-24","2m - 2.5m",2223001
"Coatings & Inks","Rest of the Records","2020-05-22","2m - 2.5m",2410001
"Specialty Materials","Rest of the Records","2018-06-23","2.5m - 3m",2711001
"Coatings & Inks","Rest of the Records","2017-05-02","2.5m - 3m",2545001
"Paper & Packaging","Rest of the Records","2021-01-25","3m - 3.5m",3160001
