"Period","CommercialSegment","PeriodStartDate","RevenueBucket","Revenue"
"Q3","Follower","2021-08-07","3.5m - 4m",3528001
"Q3","Innovator","2021-08-05","3.5m - 4m",3515001
"Q2","Follower","2021-04-05","4m - 4.5m",4459001
"Rest of years","Innovator","2018-05-08","3.5m - 4m",3680001
"Previous Year","Commodity","2020-03-05","4m - 4.5m",4466001
"Q1","Distribution","2021-01-18","3m - 3.5m",3074000
"Q3","Distribution","2021-09-13","4m - 4.5m",4025001
"Rest of years","Commodity","2019-01-02","4.5m - 5m",4741001
"Q2","Innovator","2021-05-04","3m - 3.5m",3261000
"Q3","Follower","2021-07-31","3m - 3.5m",3089000
"Q2","Innovator","2021-06-30","3m - 3.5m",3267000
"Rest of years","Distribution","2018-10-22","4m - 4.5m",4027001
"Rest of years","Commodity","2019-09-02","3m - 3.5m",3314000
"Q3","Follower","2021-09-09","3m - 3.5m",3294000
"Q2","Commodity","2021-05-10","4m - 4.5m",4191001
"Q3","Innovator","2021-08-25","3.5m - 4m",3523001
"Previous Year","Distribution","2020-11-22","3m - 3.5m",3056000
"Rest of years","Follower","2017-12-15","4m - 4.5m",4478001
"Q2","Innovator","2021-04-21","3m - 3.5m",3312000
"Q3","Follower","2021-07-16","3.5m - 4m",3592001
"Q2","Distribution","2021-06-29","4m - 4.5m",4151001
"Q1","Commodity","2021-01-22","3m - 3.5m",3379000
"Rest of years","Follower","2018-07-17","3m - 3.5m",3320000
"Q3","Commodity","2021-09-24","4m - 4.5m",4179001
"Rest of years","Distribution","2017-03-04","4.5m - 5m",4826001
"Q2","Innovator","2021-04-15","3m - 3.5m",3324000
"Q3","Innovator","2021-07-30","3.5m - 4m",3966001
"Previous Year","Follower","2020-01-22","3m - 3.5m",3041000
"Rest of years","Distribution","2018-01-02","4m - 4.5m",4215001
"Q1","Commodity","2021-02-02","4m - 4.5m",4234001
"Q3","Follower","2021-07-30","4m - 4.5m",4214001
"Rest of years","Distribution","2018-09-08","3.5m - 4m",3689001
"Q2","Commodity","2021-04-29","4m - 4.5m",4442001
"Q2","Innovator","2021-05-12","3m - 3.5m",3260000
"Q2","Commodity","2021-04-14","3m - 3.5m",3064000
"Q3","Distribution","2021-08-04","3m - 3.5m",3108000
"Rest of years","Innovator","2019-01-14","4m - 4.5m",4154001
"Previous Year","Follower","2020-04-01","3m - 3.5m",3067000
"Rest of years","Innovator","2019-11-01","3m - 3.5m",3109000
"Q1","Follower","2021-03-20","4m - 4.5m",4279001
"Q3","Distribution","2021-07-11","4m - 4.5m",4078001
"Rest of years","Commodity","2018-07-09","3m - 3.5m",3126000
"Q3","Innovator","2021-08-14","3.5m - 4m",3815001
"Q2","Distribution","2021-06-16","3m - 3.5m",3102000
"Q2","Follower","2021-05-28","4m - 4.5m",4065001
"Q3","Commodity","2021-07-01","4m - 4.5m",4281001
"Q2","Follower","2021-06-26","4.5m - 5m",4752001
"Rest of years","Distribution","2019-10-12","3m - 3.5m",3442000
"Previous Year","Commodity","2020-02-06","4m - 4.5m",4273001
"Q3","Innovator","2021-09-15","3.5m - 4m",3741001
"Q1","Innovator","2021-02-23","4m - 4.5m",4464001
"Rest of years","Follower","2017-08-18","3m - 3.5m",3321000
"Rest of years","Distribution","2019-12-11","3.5m - 4m",3922001
"Q3","Commodity","2021-08-25","3m - 3.5m",3478000
"Q2","Distribution","2021-06-25","4m - 4.5m",4339001
"Q2","Innovator","2021-06-21","3m - 3.5m",3251000
"Q2","Follower","2021-06-26","4m - 4.5m",4274001
"Rest of years","Commodity","2017-11-08","4m - 4.5m",4321001
"Q3","Innovator","2021-08-08","3.5m - 4m",3504001
"Previous Year","Distribution","2020-04-29","3m - 3.5m",3282000
"Q2","Follower","2021-04-03","3m - 3.5m",3313000
"Rest of years","Commodity","2017-06-11","4m - 4.5m",4423001
"Q1","Follower","2021-03-27","4.5m - 5m",4755001
"Q3","Commodity","2021-09-29","3.5m - 4m",3541001
"Rest of years","Distribution","2018-04-26","4m - 4.5m",4475001
"Q2","Innovator","2021-04-17","3m - 3.5m",3200000
"Q3","Distribution","2021-09-21","3m - 3.5m",3067000
"Rest of years","Innovator","2019-04-11","3m - 3.5m",3460000
"Q2","Commodity","2021-05-29","3m - 3.5m",3077000
"Q3","Follower","2021-09-23","4m - 4.5m",4236001
"Q2","Innovator","2021-04-25","3m - 3.5m",3404000
"Q1","Commodity","2021-03-09","4m - 4.5m",4151001
"Previous Year","Follower","2020-11-03","3m - 3.5m",3251000
"Q3","Distribution","2021-07-15","4m - 4.5m",4368001
"Q2","Distribution","2021-06-17","3m - 3.5m",3132000
"Q3","Innovator","2021-07-18","3.5m - 4m",3890001
"Rest of years","Commodity","2018-08-17","3m - 3.5m",3326000
"Rest of years","Follower","2019-05-21","4m - 4.5m",4163001
"Q3","Distribution","2021-07-09","4m - 4.5m",4251001
"Rest of years","Innovator","2018-01-19","3.5m - 4m",3694001
"Q2","Follower","2021-05-23","3m - 3.5m",3181000
"Previous Year","Commodity","2020-09-02","4.5m - 5m",4524001
"Q1","Distribution","2021-03-08","3.5m - 4m",3662001
"Q2","Follower","2021-04-08","4m - 4.5m",4359001
"Rest of years","Commodity","2017-07-28","4m - 4.5m",4285001
"Q2","Innovator","2021-04-21","3m - 3.5m",3159000
"Rest of years","Follower","2018-07-31","3m - 3.5m",3346000
"Q3","Distribution","2021-07-30","4m - 4.5m",4495001
"Q3","Commodity","2021-09-18","3m - 3.5m",3393000
"Rest of years","Innovator","2018-07-10","4m - 4.5m",4320001
"Q3","Distribution","2021-09-07","3m - 3.5m",3354000
"Q2","Innovator","2021-05-04","3m - 3.5m",3306000
"Previous Year","Commodity","2020-05-28","4m - 4.5m",4242001
"Q3","Follower","2021-07-07","3m - 3.5m",3363000
"Rest of years","Commodity","2018-09-21","4m - 4.5m",4240001
"Q2","Follower","2021-04-27","3.5m - 4m",3948001
"Q1","Innovator","2021-01-12","3.5m - 4m",3692001
"Q2","Distribution","2021-06-13","4m - 4.5m",4070001
"Q3","Innovator","2021-07-22","3.5m - 4m",3728001
"Rest of years","Commodity","2019-04-25","3m - 3.5m",3330000
"Rest of years","Follower","2019-10-24","4.5m - 5m",4570001
"Q2","Distribution","2021-05-13","4m - 4.5m",4138001
"Q3","Commodity","2021-08-04","4m - 4.5m",4331001
"Rest of years","Innovator","2017-06-09","3m - 3.5m",3398000
"Q1","Distribution","2021-02-07","3m - 3.5m",3082000
"Q2","Follower","2021-05-23","4m - 4.5m",4167001
"Previous Year","Distribution","2020-01-21","3m - 3.5m",3426000
"Q2","Innovator","2021-06-21","3m - 3.5m",3097000
"Rest of years","Follower","2017-10-01","3m - 3.5m",3378000
"Q3","Commodity","2021-07-20","4m - 4.5m",4058001
"Q3","Follower","2021-08-10","3m - 3.5m",3031000
"Rest of years","Commodity","2019-07-17","3.5m - 4m",3594001
"Q3","Innovator","2021-07-14","3.5m - 4m",3727001
"Q2","Distribution","2021-04-09","3m - 3.5m",3309000
"Q1","Follower","2021-03-10","4m - 4.5m",4087001
"Q2","Commodity","2021-04-29","4m - 4.5m",4212001
"Previous Year","Innovator","2020-04-09","4m - 4.5m",4301001
"Rest of years","Distribution","2018-07-20","4.5m - 5m",4652001
"Rest of years","Distribution","2018-12-01","3m - 3.5m",3340000
"Q2","Innovator","2021-06-17","3m - 3.5m",3139000
"Q3","Commodity","2021-09-07","3m - 3.5m",3124000
"Q3","Follower","2021-08-02","4m - 4.5m",4329001
"Q3","Innovator","2021-09-28","3.5m - 4m",3665001
"Q2","Commodity","2021-06-15","3m - 3.5m",3221000
"Rest of years","Distribution","2018-07-31","4m - 4.5m",4470001
"Q3","Follower","2021-08-25","4m - 4.5m",4006001
"Previous Year","Commodity","2020-10-11","3m - 3.5m",3366000
"Q1","Innovator","2021-03-27","3m - 3.5m",3273000
"Q2","Follower","2021-04-29","4m - 4.5m",4480001
"Q2","Distribution","2021-04-21","3m - 3.5m",3251000
"Rest of years","Innovator","2018-01-27","4m - 4.5m",4352001
"Q3","Follower","2021-08-25","4m - 4.5m",4172001
"Rest of years","Distribution","2018-06-05","3.5m - 4m",3979001
"Q2","Commodity","2021-04-21","3m - 3.5m",3176000
"Rest of years","Innovator","2017-09-03","4m - 4.5m",4228001
"Q3","Distribution","2021-07-30","4m - 4.5m",4372001
"Rest of years","Commodity","2017-05-21","4.5m - 5m",4904001
"Q1","Follower","2021-03-22","4m - 4.5m",4429001
"Q2","Innovator","2021-05-21","3m - 3.5m",3278000
"Q3","Commodity","2021-08-25","3m - 3.5m",3026000
"Q2","Follower","2021-05-10","3m - 3.5m",3452000
"Previous Year","Distribution","2020-05-17","4m - 4.5m",4477001
"Q3","Follower","2021-07-30","3m - 3.5m",3004000
"Rest of years","Distribution","2018-12-17","4m - 4.5m",4008001
"Rest of years","Innovator","2018-03-10","3m - 3.5m",3132000
"Q3","Commodity","2021-07-15","4m - 4.5m",4104001
"Q2","Innovator","2021-04-04","3m - 3.5m",3225000
"Previous Year","Commodity","2020-08-22","3.5m - 4m",3749001
"Q3","Distribution","2021-08-28","4m - 4.5m",4316001
"Rest of years","Follower","2017-07-23","3m - 3.5m",3226000
"Q2","Innovator","2021-06-02","3m - 3.5m",3271000
"Q1","Commodity","2021-01-23","3m - 3.5m",3368000
"Q3","Follower","2021-09-28","4m - 4.5m",4135001
"Q2","Distribution","2021-06-30","3m - 3.5m",3084000
"Rest of years","Distribution","2017-09-07","4m - 4.5m",4140001
"Rest of years","Innovator","2019-01-07","3.5m - 4m",3826001
"Q2","Follower","2021-05-06","4m - 4.5m",4244001
"Q3","Commodity","2021-09-20","4.5m - 5m",4673001
"Previous Year","Innovator","2020-04-28","4m - 4.5m",4060001
"Q3","Commodity","2021-09-02","3m - 3.5m",3024000
"Rest of years","Follower","2018-07-01","3m - 3.5m",3091000
"Q1","Distribution","2021-02-18","3.5m - 4m",3779001
"Q2","Distribution","2021-04-24","4m - 4.5m",4481001
"Q2","Follower","2021-05-20","3m - 3.5m",3419000
"Q3","Commodity","2021-07-21","4m - 4.5m",4243001
"Rest of years","Innovator","2017-02-04","4m - 4.5m",4469001
"Q3","Innovator","2021-08-24","3.5m - 4m",3776001
"Rest of years","Distribution","2017-01-04","3m - 3.5m",3025000
"Q2","Follower","2021-06-18","4m - 4.5m",4425001
"Q3","Commodity","2021-07-21","4m - 4.5m",4448001
"Previous Year","Follower","2020-05-24","3m - 3.5m",3059000
"Q2","Distribution","2021-04-07","4m - 4.5m",4159001
"Q1","Commodity","2021-01-05","3m - 3.5m",3356000
"Q2","Innovator","2021-04-19","3m - 3.5m",3276000
"Rest of years","Distribution","2017-12-23","4.5m - 5m",4731001
"Rest of years","Follower","2017-03-03","4m - 4.5m",4125001
"Q3","Commodity","2021-09-20","3.5m - 4m",3790001
"Rest of years","Innovator","2017-02-07","4m - 4.5m",4164001
"Q2","Commodity","2021-04-12","4m - 4.5m",4026001
"Q3","Innovator","2021-07-24","3.5m - 4m",3871001
"Q2","Follower","2021-06-11","4m - 4.5m",4252001
"Rest of years","Distribution","2017-08-02","3m - 3.5m",3000000
"Q1","Distribution","2021-03-30","3m - 3.5m",3025000
"Previous Year","Innovator","2020-06-13","4m - 4.5m",4175001
"Rest of years","Follower","2019-03-20","3m - 3.5m",3379000
"Q3","Commodity","2021-09-12","4m - 4.5m",4189001
"Q2","Innovator","2021-04-09","3m - 3.5m",3076000
"Q3","Distribution","2021-08-11","4m - 4.5m",4309001
"Rest of years","Commodity","2017-04-01","3m - 3.5m",3034000
"Q3","Follower","2021-09-07","4m - 4.5m",4298001
"Q2","Commodity","2021-04-28","3m - 3.5m",3416000
"Q1","Distribution","2021-01-09","4m - 4.5m",4078001
"Rest of years","Innovator","2019-04-17","3.5m - 4m",3600001
"Q3","Follower","2021-07-28","3.5m - 4m",3809001
"Previous Year","Follower","2020-03-17","3m - 3.5m",3490000
"Rest of years","Innovator","2017-03-27","4m - 4.5m",4105001
"Q2","Commodity","2021-05-11","4m - 4.5m",4436001
"Q3","Distribution","2021-08-06","3m - 3.5m",3323000
"Q2","Follower","2021-06-03","4m - 4.5m",4019001
"Rest of years","Distribution","2017-03-07","4.5m - 5m",4532001
"Q2","Innovator","2021-05-14","3m - 3.5m",3161000
"Q3","Commodity","2021-09-02","3m - 3.5m",3251000
"Q2","Distribution","2021-06-14","3m - 3.5m",3077000
"Q1","Commodity","2021-02-28","4m - 4.5m",4110001
"Previous Year","Innovator","2020-02-28","4m - 4.5m",4336001
"Q3","Follower","2021-09-08","4m - 4.5m",4328001
"Rest of years","Commodity","2018-10-25","3m - 3.5m",3223000
"Rest of years","Follower","2018-03-11","4m - 4.5m",4230001
"Q2","Distribution","2021-05-26","3.5m - 4m",3563001
"Q3","Innovator","2021-08-12","3.5m - 4m",3583001
"Q2","Distribution","2021-06-25","4.5m - 5m",4770001
"Rest of years","Commodity","2017-02-25","3m - 3.5m",3289000
"Q3","Innovator","2021-09-25","3.5m - 4m",3574001
"Q1","Follower","2021-01-08","3m - 3.5m",3213000
"Q3","Innovator","2021-07-06","3.5m - 4m",3591001
"Previous Year","Follower","2020-08-12","4m - 4.5m",4246001
"Rest of years","Commodity","2017-09-12","4m - 4.5m",4455001
"Q2","Distribution","2021-05-30","3m - 3.5m",3025000
"Rest of years","Innovator","2018-04-26","3m - 3.5m",3140000
"Q3","Distribution","2021-08-11","4m - 4.5m",4370001
"Q2","Follower","2021-04-30","3m - 3.5m",3439000
"Rest of years","Commodity","2017-02-06","4m - 4.5m",4276001
"Q3","Follower","2021-09-02","4m - 4.5m",4074001
"Q2","Distribution","2021-06-30","3m - 3.5m",3154000
"Q2","Commodity","2021-06-26","4m - 4.5m",4039001
"Q1","Innovator","2021-03-26","4m - 4.5m",4364001
"Q3","Commodity","2021-09-17","3.5m - 4m",3591001
"Rest of years","Follower","2017-04-17","4m - 4.5m",4282001
"Previous Year","Innovator","2020-08-10","4m - 4.5m",4106001
"Q3","Distribution","2021-09-01","4.5m - 5m",4616001
"Rest of years","Follower","2018-04-30","3m - 3.5m",3074000
"Q2","Innovator","2021-05-09","3m - 3.5m",3288000
"Q3","Commodity","2021-08-25","3m - 3.5m",3368000
"Rest of years","Distribution","2017-12-30","4m - 4.5m",4019001
"Q2","Follower","2021-05-04","3m - 3.5m",3324000
"Rest of years","Commodity","2017-05-18","4m - 4.5m",4426001
"Q1","Innovator","2021-01-21","4m - 4.5m",4187001
"Q2","Distribution","2021-04-05","4m - 4.5m",4243001
"Previous Year","Distribution","2020-08-27","3m - 3.5m",3376000
"Rest of years","Follower","2017-10-18","3m - 3.5m",3313000
"Q3","Innovator","2021-08-04","3.5m - 4m",3820001
"Q3","Commodity","2021-08-08","4m - 4.5m",4097001
"Q2","Distribution","2021-06-28","3m - 3.5m",3391000
"Q2","Commodity","2021-04-28","4m - 4.5m",4338001
"Q3","Innovator","2021-09-20","3.5m - 4m",3953001
"Rest of years","Follower","2018-04-19","3.5m - 4m",3716001
"Q1","Follower","2021-02-11","4m - 4.5m",4477001
"Previous Year","Innovator","2020-08-21","4m - 4.5m",4363001
"Rest of years","Distribution","2019-04-01","3m - 3.5m",3440000
"Q2","Commodity","2021-04-27","3m - 3.5m",3464000
"Q3","Innovator","2021-09-07","3.5m - 4m",3985001
"Q3","Distribution","2021-08-07","4.5m - 5m",4850001
"Q2","Follower","2021-04-07","4m - 4.5m",4261001
"Rest of years","Commodity","2018-10-13","4m - 4.5m",4482001
"Q2","Distribution","2021-04-06","3m - 3.5m",3367000
"Q3","Innovator","2021-08-11","3.5m - 4m",3841001
"Rest of years","Commodity","2018-04-15","4m - 4.5m",4122001
"Q1","Follower","2021-02-08","3.5m - 4m",3682001
"Q2","Commodity","2021-04-29","4m - 4.5m",4288001
"Previous Year","Follower","2020-06-03","3m - 3.5m",3209000
"Q3","Innovator","2021-09-29","3.5m - 4m",3950001
"Q3","Distribution","2021-07-25","3m - 3.5m",3393000
"Rest of years","Distribution","2018-05-05","3m - 3.5m",3419000
"Rest of years","Innovator","2019-07-27","3m - 3.5m",3460000
"Q2","Follower","2021-04-05","4m - 4.5m",4148001
"Q2","Commodity","2021-04-26","4m - 4.5m",4185001
"Rest of years","Commodity","2017-10-23","3m - 3.5m",3348000
"Q3","Distribution","2021-08-21","4m - 4.5m",4024001
"Q1","Innovator","2021-01-15","3.5m - 4m",3976001
"Q3","Follower","2021-09-10","3m - 3.5m",3405000
"Rest of years","Innovator","2019-07-07","4m - 4.5m",4119001
"Previous Year","Follower","2020-08-15","4m - 4.5m",4205001
"Q2","Distribution","2021-06-26","4.5m - 5m",4793001
"Q3","Commodity","2021-08-18","3m - 3.5m",3289000
"Rest of years","Innovator","2018-06-18","3.5m - 4m",3650001
"Q2","Commodity","2021-04-13","3.5m - 4m",3679001
"Q2","Follower","2021-05-20","4m - 4.5m",4153001
"Q3","Distribution","2021-09-30","3m - 3.5m",3120000
"Rest of years","Commodity","2018-01-14","4m - 4.5m",4394001
"Previous Year","Follower","2020-01-20","4m - 4.5m",4023001
"Rest of years","Innovator","2019-04-24","3m - 3.5m",3065000
"Q2","Distribution","2021-06-20","3m - 3.5m",3240000
"Q3","Distribution","2021-09-20","4m - 4.5m",4142001
"Q3","Follower","2021-09-02","3m - 3.5m",3071000
"Rest of years","Innovator","2017-06-15","4m - 4.5m",4121001
"Q2","Commodity","2021-06-02","4m - 4.5m",4143001
"Q1","Distribution","2021-03-05","3m - 3.5m",3367000
"Rest of years","Commodity","2017-05-06","4.5m - 5m",4602001
"Q2","Follower","2021-05-03","4m - 4.5m",4108001
"Q3","Innovator","2021-09-07","3.5m - 4m",3779001
"Q3","Commodity","2021-08-31","4m - 4.5m",4276001
"Rest of years","Follower","2019-12-04","3m - 3.5m",3384000
"Q2","Distribution","2021-04-08","3.5m - 4m",3713001
"Q1","Innovator","2021-02-15","4m - 4.5m",4087001
"Previous Year","Follower","2020-07-24","4m - 4.5m",4095001
"Rest of years","Distribution","2018-06-10","3m - 3.5m",3288000
"Q3","Commodity","2021-08-28","4m - 4.5m",4098001
"Q2","Innovator","2021-05-27","3m - 3.5m",3256000
"Q2","Innovator","2021-04-05","3m - 3.5m",3498000
"Q3","Distribution","2021-08-29","3m - 3.5m",3063000
"Rest of years","Follower","2017-02-23","4m - 4.5m",4217001
"Rest of years","Commodity","2018-04-02","3m - 3.5m",3200000
"Previous Year","Follower","2020-10-06","3m - 3.5m",3079000
"Q2","Commodity","2021-05-12","4m - 4.5m",4470001
"Q1","Innovator","2021-03-13","3m - 3.5m",3220000
"Q3","Distribution","2021-07-17","4.5m - 5m",4583001
"Q3","Follower","2021-08-24","3.5m - 4m",3984001
"Rest of years","Commodity","2017-03-30","3m - 3.5m",3456000
"Q2","Distribution","2021-06-20","3m - 3.5m",3344000
"Q2","Innovator","2021-05-08","3m - 3.5m",3354000
"Rest of years","Innovator","2017-10-04","4m - 4.5m",4183001
"Q3","Follower","2021-09-23","4m - 4.5m",4078001
"Previous Year","Commodity","2020-11-08","4m - 4.5m",4473001
"Q1","Distribution","2021-01-03","3m - 3.5m",3485000
"Q2","Innovator","2021-04-01","3m - 3.5m",3403000
"Q3","Distribution","2021-09-23","4m - 4.5m",4035001
"Q2","Commodity","2021-06-30","4m - 4.5m",4251001
"Q3","Follower","2021-07-31","3m - 3.5m",3268000
"Rest of years","Follower","2019-09-14","4m - 4.5m",4410001
"Rest of years","Innovator","2018-08-10","3m - 3.5m",3055000
"Rest of years","Commodity","2019-02-22","3m - 3.5m",3128000
"Q3","Distribution","2021-09-16","4m - 4.5m",4033001
"Q2","Innovator","2021-04-18","3m - 3.5m",3416000
"Previous Year","Commodity","2020-04-05","3m - 3.5m",3390000
"Q1","Distribution","2021-01-05","4.5m - 5m",4921001
"Q3","Follower","2021-08-03","3.5m - 4m",3923001
"Q2","Commodity","2021-05-20","4m - 4.5m",4403001
"Q3","Innovator","2021-09-09","3.5m - 4m",3936001
"Rest of years","Follower","2017-07-23","3m - 3.5m",3011000
"Q2","Distribution","2021-04-29","4m - 4.5m",4351001
"Rest of years","Distribution","2018-05-31","3m - 3.5m",3259000
"Rest of years","Commodity","2019-09-05","4m - 4.5m",4167001
"Q3","Follower","2021-07-19","4m - 4.5m",4184001
"Q2","Innovator","2021-05-27","3m - 3.5m",3411000
"Rest of years","Follower","2019-10-06","3m - 3.5m",3450000
"Q3","Distribution","2021-08-22","4m - 4.5m",4497001
"Q1","Commodity","2021-03-02","3m - 3.5m",3060000
"Previous Year","Innovator","2020-12-12","4m - 4.5m",4469001
"Q2","Commodity","2021-05-23","4m - 4.5m",4012001
"Q3","Distribution","2021-07-21","4.5m - 5m",4757001
"Rest of years","Innovator","2019-10-21","4.5m - 5m",4882001
"Q2","Follower","2021-04-08","3m - 3.5m",3244000
"Q2","Commodity","2021-05-10","3.5m - 4m",3571001
"Rest of years","Distribution","2019-06-21","4m - 4.5m",4169001
"Q3","Follower","2021-07-29","4m - 4.5m",4028001
"Q2","Innovator","2021-06-05","3m - 3.5m",3351000
"Q1","Commodity","2021-01-20","3m - 3.5m",3138000
"Previous Year","Follower","2020-04-20","4m - 4.5m",4344001
"Rest of years","Innovator","2019-04-25","4m - 4.5m",4277001
"Q2","Distribution","2021-04-08","3m - 3.5m",3319000
"Rest of years","Commodity","2019-08-02","3m - 3.5m",3169000
"Q3","Innovator","2021-08-28","3.5m - 4m",3629001
"Q3","Follower","2021-07-18","4m - 4.5m",4127001
"Q2","Distribution","2021-05-04","3m - 3.5m",3210000
"Rest of years","Distribution","2017-06-13","4m - 4.5m",4088001
"Q3","Follower","2021-09-21","3m - 3.5m",3399000
"Q3","Innovator","2021-07-07","3.5m - 4m",3822001
"Previous Year","Commodity","2020-08-16","3.5m - 4m",3905001
"Q1","Commodity","2021-02-06","4m - 4.5m",4344001
"Rest of years","Follower","2019-12-03","3m - 3.5m",3458000
"Rest of years","Distribution","2019-03-23","4.5m - 5m",4520001
"Q3","Innovator","2021-09-05","3.5m - 4m",3617001
"Q2","Innovator","2021-04-26","3m - 3.5m",3072000
"Q2","Distribution","2021-06-24","4m - 4.5m",4213001
"Rest of years","Follower","2017-11-27","3m - 3.5m",3471000
"Q2","Commodity","2021-06-21","4m - 4.5m",4427001
"Q3","Commodity","2021-09-22","4m - 4.5m",4155001
"Q2","Follower","2021-05-28","3m - 3.5m",3360000
